INFO:__main__:Starting fhv trip data producer
INFO:__main__:Starting green trip data producer
ERROR:__main__:fhv_producer encountered an error: True
ERROR:__main__:green_producer encountered an error: True
INFO:__main__:Produced {'pickup_location_id': 264, 'passenger_count': 5, 'vendor_id': '2', 'pickup_datetime': '2018-12-21T15:17:29', 'dropoff_datetime': '2018-12-21T15:18:57', 'trip_distance': 0.0, 'tip_amount': 0.0, 'fare_amount': 3.0} to topic green-trips partition 0 offset 0
INFO:__main__:Produced {'pickup_location_id': 97, 'passenger_count': 2, 'vendor_id': '2', 'pickup_datetime': '2019-01-01T00:10:16', 'dropoff_datetime': '2019-01-01T00:16:32', 'trip_distance': 0.86, 'tip_amount': 0.0, 'fare_amount': 6.0} to topic green-trips partition 0 offset 1
INFO:__main__:Produced {'pickup_location_id': 49, 'passenger_count': 2, 'vendor_id': '2', 'pickup_datetime': '2019-01-01T00:27:11', 'dropoff_datetime': '2019-01-01T00:31:38', 'trip_distance': 0.66, 'tip_amount': 0.0, 'fare_amount': 4.5} to topic green-trips partition 0 offset 2
INFO:__main__:Produced {'pickup_location_id': 189, 'passenger_count': 2, 'vendor_id': '2', 'pickup_datetime': '2019-01-01T00:46:20', 'dropoff_datetime': '2019-01-01T01:04:54', 'trip_distance': 2.68, 'tip_amount': 2.96, 'fare_amount': 13.5} to topic green-trips partition 0 offset 3
INFO:__main__:Produced {'pickup_location_id': 82, 'passenger_count': 1, 'vendor_id': '2', 'pickup_datetime': '2019-01-01T00:19:06', 'dropoff_datetime': '2019-01-01T00:39:43', 'trip_distance': 4.53, 'tip_amount': 0.0, 'fare_amount': 18.0} to topic green-trips partition 0 offset 4
INFO:__main__:Produced {'pickup_location_id': 49, 'passenger_count': 1, 'vendor_id': '2', 'pickup_datetime': '2019-01-01T00:12:35', 'dropoff_datetime': '2019-01-01T00:19:09', 'trip_distance': 1.05, 'tip_amount': 0.0, 'fare_amount': 6.5} to topic green-trips partition 0 offset 5
INFO:__main__:Produced {'pickup_location_id': 255, 'passenger_count': 1, 'vendor_id': '2', 'pickup_datetime': '2019-01-01T00:47:55', 'dropoff_datetime': '2019-01-01T01:00:01', 'trip_distance': 3.77, 'tip_amount': 0.0, 'fare_amount': 13.5} to topic green-trips partition 0 offset 6
INFO:__main__:Produced {'pickup_location_id': 76, 'passenger_count': 1, 'vendor_id': '1', 'pickup_datetime': '2019-01-01T00:12:47', 'dropoff_datetime': '2019-01-01T00:30:50', 'trip_distance': 4.1, 'tip_amount': 0.0, 'fare_amount': 16.0} to topic green-trips partition 0 offset 7
INFO:__main__:Produced {'pickup_location_id': 25, 'passenger_count': 1, 'vendor_id': '2', 'pickup_datetime': '2019-01-01T00:16:23', 'dropoff_datetime': '2019-01-01T00:39:46', 'trip_distance': 7.75, 'tip_amount': 0.0, 'fare_amount': 25.5} to topic green-trips partition 0 offset 8
INFO:__main__:Produced {'pickup_location_id': 85, 'passenger_count': 1, 'vendor_id': '2', 'pickup_datetime': '2019-01-01T00:58:02', 'dropoff_datetime': '2019-01-01T01:19:02', 'trip_distance': 3.68, 'tip_amount': 0.0, 'fare_amount': 15.5} to topic green-trips partition 0 offset 9
INFO:__main__:Produced {'pickup_location_id': 223, 'passenger_count': 1, 'vendor_id': '2', 'pickup_datetime': '2019-01-01T00:37:00', 'dropoff_datetime': '2019-01-01T00:56:42', 'trip_distance': 6.84, 'tip_amount': 8.0, 'fare_amount': 22.0} to topic green-trips partition 0 offset 10
INFO:__main__:Produced {'pickup_location_id': 129, 'passenger_count': 2, 'vendor_id': '2', 'pickup_datetime': '2019-01-01T00:13:48', 'dropoff_datetime': '2019-01-01T00:21:00', 'trip_distance': 1.15, 'tip_amount': 1.56, 'fare_amount': 6.5} to topic green-trips partition 0 offset 11
INFO:__main__:Produced {'pickup_location_id': 71, 'passenger_count': 1, 'vendor_id': '2', 'pickup_datetime': '2019-01-01T00:19:59', 'dropoff_datetime': '2019-01-01T00:45:50', 'trip_distance': 0.49, 'tip_amount': 0.0, 'fare_amount': 15.5} to topic green-trips partition 0 offset 12
INFO:__main__:Produced {'pickup_location_id': 85, 'passenger_count': 1, 'vendor_id': '2', 'pickup_datetime': '2019-01-01T00:57:57', 'dropoff_datetime': '2019-01-01T01:20:10', 'trip_distance': 3.61, 'tip_amount': 0.0, 'fare_amount': 17.0} to topic green-trips partition 0 offset 13
INFO:__main__:Produced {'pickup_location_id': 256, 'passenger_count': 1, 'vendor_id': '1', 'pickup_datetime': '2019-01-01T00:09:02', 'dropoff_datetime': '2019-01-01T00:17:50', 'trip_distance': 1.2, 'tip_amount': 5.2, 'fare_amount': 7.5} to topic green-trips partition 0 offset 14
INFO:__main__:Produced {'pickup_location_id': 80, 'passenger_count': 1, 'vendor_id': '1', 'pickup_datetime': '2019-01-01T00:22:12', 'dropoff_datetime': '2019-01-01T00:25:29', 'trip_distance': 0.5, 'tip_amount': 0.0, 'fare_amount': 4.0} to topic green-trips partition 0 offset 15
